Date,MyWay,Paper Ticket,Total
06/03/2021,5469,655,6124
05/03/2021,11985,494,12479
13/03/2021,3988,400,4388
14/03/2021,2050,114,2164
12/03/2021,11822,496,12318
16/03/2021,12071,346,12417
18/03/2021,12120,373,12493
17/03/2021,12094,421,12515
21/03/2021,3271,218,3489
15/03/2021,11863,385,12248
23/03/2021,10254,307,10561
22/03/2021,10371,264,10635
24/03/2021,12200,341,12541
20/03/2021,5010,418,5428
19/03/2021,12070,474,12544
27/03/2021,6060,782,6842
29/03/2021,11337,361,11698
25/03/2021,12372,436,12808
28/03/2021,4157,315,4472
26/03/2021,12650,579,13229
30/03/2021,11965,349,12314
31/03/2021,12374,467,12841
04/04/2021,3355,359,3714
02/04/2021,2784,320,3104
07/04/2021,10548,527,11075
01/04/2021,11349,503,11852
05/04/2021,3611,338,3949
03/04/2021,4726,628,5354
06/04/2021,10114,485,10599
08/04/2021,10559,501,11060
11/04/2021,3915,354,4269
09/04/2021,10735,737,11472
10/04/2021,5376,595,5971
12/04/2021,10089,470,10559
13/04/2021,10687,554,11241
14/04/2021,10649,523,11172
15/04/2021,10953,586,11539
17/04/2021,5438,591,6029
16/04/2021,10826,614,11440
18/04/2021,3859,282,4141
19/04/2021,11215,389,11604
21/04/2021,12296,377,12673
20/04/2021,12463,341,12804
23/04/2021,11967,458,12425
22/04/2021,12159,397,12556
24/04/2021,5048,463,5511
25/04/2021,3684,417,4101
01/10/2020,7938,342,8280
19/05/2021,11950,334,12284
20/05/2021,12260,359,12619
27/04/2021,12291,412,12703
01/07/2021,9095,335,9430
26/04/2021,3698,265,3963
28/04/2021,12552,425,12977
29/04/2021,12578,421,12999
30/04/2021,12411,496,12907
01/05/2021,5637,522,6159
02/05/2021,3773,274,4047
21/05/2021,12305,545,12850
03/05/2021,11227,329,11556
04/05/2021,10946,292,11238
22/03/2022,10463,319,10782
05/05/2021,11748,313,12061
06/05/2021,12056,430,12486
08/05/2021,5601,525,6126
23/05/2021,3891,300,4191
09/05/2021,3991,293,4284
07/05/2021,12196,480,12676
22/05/2021,5437,507,5944
10/05/2021,11436,353,11789
24/05/2021,11616,353,11969
25/05/2021,12133,362,12495
11/05/2021,12062,370,12432
12/05/2021,12389,393,12782
01/02/2021,9402,339,9741
14/05/2021,12019,485,12504
01/12/2020,10243,299,10542
13/05/2021,12167,473,12640
16/05/2021,3930,265,4195
01/05/2019,17248,239,17487
01/06/2021,11788,328,12116
15/05/2021,5239,497,5736
01/03/2021,11412,318,11730
23/03/2022,10591,363,10954
27/05/2021,12471,380,12851
24/03/2022,10251,387,10638
28/05/2021,12160,499,12659
29/05/2021,5286,496,5782
30/05/2021,4016,317,4333
31/05/2021,3698,221,3919
26/03/2022,5216,498,5714
03/06/2021,10442,292,10734
02/06/2021,12149,352,12501
25/03/2022,10604,485,11089
05/06/2021,5186,504,5690
04/06/2021,11829,447,12276
06/06/2021,3844,252,4096
07/06/2021,11384,342,11726
08/06/2021,12099,311,12410
27/03/2022,3504,215,3719
28/03/2022,9759,289,10048
09/06/2021,11645,285,11930
11/06/2021,11275,508,11783
10/06/2021,11611,302,11913
12/06/2021,4982,511,5493
13/06/2021,4431,499,4930
14/06/2021,3655,278,3933
29/03/2022,10660,379,11039
30/03/2022,10819,387,11206
31/03/2022,10559,370,10929
01/04/2022,10337,466,10803
03/04/2022,3923,307,4230
02/04/2022,5044,450,5494
04/04/2022,9947,333,10280
05/04/2022,10564,391,10955
20/06/2021,3877,244,4121
06/04/2022,10434,368,10802
07/04/2022,9468,310,9778
26/06/2021,5348,470,5818
25/06/2021,11195,438,11633
27/06/2021,3910,244,4154
28/06/2021,8207,330,8537
03/07/2021,4586,329,4915
02/07/2021,9506,434,9940
15/06/2021,11874,322,12196
21/06/2021,11247,356,11603
30/06/2021,9275,328,9603
19/06/2021,5301,424,5725
22/06/2021,11819,358,12177
06/07/2021,9437,277,9714
18/06/2021,12188,425,12613
07/07/2021,9847,359,10206
17/06/2021,11887,336,12223
04/07/2021,3435,205,3640
08/07/2021,10096,388,10484
23/06/2021,11883,376,12259
24/06/2021,9977,241,10218
10/07/2021,5183,460,5643
09/07/2021,9913,446,10359
11/07/2021,3793,222,4015
13/07/2021,11398,291,11689
12/07/2021,10537,297,10834
14/07/2021,11131,279,11410
16/07/2021,10334,303,10637
15/07/2021,11116,261,11377
17/07/2021,4232,302,4534
18/07/2021,3686,165,3851
19/07/2021,10929,232,11161
20/07/2021,10884,258,11142
22/07/2021,11495,255,11750
21/07/2021,11248,252,11500
23/07/2021,10572,278,10850
25/07/2021,3231,151,3382
24/07/2021,4447,311,4758
26/07/2021,10901,240,11141
27/07/2021,11715,257,11972
28/07/2021,11004,219,11223
29/07/2021,11929,307,12236
30/07/2021,11517,367,11884
01/08/2021,3310,188,3498
31/07/2021,5021,364,5385
02/08/2021,11132,265,11397
03/08/2021,11428,261,11689
04/08/2021,11744,282,12026
05/08/2021,11714,276,11990
08/08/2021,3659,173,3832
09/08/2021,11282,246,11528
10/08/2021,12055,285,12340
11/08/2021,11928,268,12196
12/08/2021,9179,190,9369
13/08/2021,1682,43,1725
14/08/2021,937,25,962
15/08/2021,721,25,746
16/08/2021,1363,46,1409
17/08/2021,1369,34,1403
18/08/2021,1151,23,1174
20/08/2021,1073,28,1101
19/08/2021,1134,29,1163
21/08/2021,707,21,728
22/08/2021,583,8,591
23/08/2021,1085,27,1112
24/08/2021,1026,29,1055
25/08/2021,1059,24,1083
